Query,Expected Answer,Actual Answer,Query Match Score,Processed Time,Answer Matching Score,Results
enathu BOC credit cardi naan velinaadukalil payanpaduthalama?,Ām. Uṅkaḷ BOC kireṭiṭ kārṭai  vicā maṟṟum māsṭarkārṭukaḷai pēmeṇṭ neṭvorkkukaḷāka ēṟṟukkoḷḷum entap pēmeṇṭ puḷḷiyilum nīṅkaḷ payaṉpaṭuttalām., Ām. Uṅkaḷ BOC kireṭiṭ kārṭai  vicā maṟṟum māsṭarkārṭukaḷai pēmeṇṭ neṭvorkkukaḷāka ēṟṟukkoḷḷum entap pēmeṇṭ puḷḷiyilum nīṅkaḷ payaṉpaṭuttalām.,0.5531,0.0665743350982666,1.0,Pass
எனது BOC credit cardi naan வெளிநாடுகளில் payanpaduththalama?,Ām. Uṅkaḷ BOC kireṭiṭ kārṭai  vicā maṟṟum māsṭarkārṭukaḷai pēmeṇṭ neṭvorkkukaḷāka ēṟṟukkoḷḷum entap pēmeṇṭ puḷḷiyilum nīṅkaḷ payaṉpaṭuttalām., ஆம். உங்கள் BOC கிரெடிட் கார்டை விசா மற்றும் மாஸ்டர்கார்டுகளை பேமெண்ட் நெட்வொர்க்குகளாக ஏற்றுக்கொள்ளும் எந்தப் பேமெண்ட் புள்ளியிலும் நீங்கள் பயன்படுத்தலாம்.,0.6905,0.1343097686767578,0.13,Fail
How to download a Cyber Receipt?,1. Go to SelfManagement from top menu bar and select Online Activity 2.Find the online activity you prefer and click on the arrow key in front of the transaction to download the cyber receipt., 1. Go to SelfManagement from top menu bar and select Online Activity 2.Find the online activity you prefer and click on the arrow key in front of the transaction to download the cyber receipt.,0.9535,0.04309582710266113,1.0,Pass
சைபர் ரசீதை எவ்வாறு பதிவிறக்குவது,1. மேல் மெனு பட்டியில் இருந்து SelfManagement க்குச் சென்று ஆன்லைன் செயல்பாட்டைத் தேர்ந்தெடுக்கவும் 2. நீங்கள் விரும்பும் ஆன்லைன் செயல்பாட்டைக் கண்டறிந்து  இணைய ரசீதைப் பதிவிறக்குவதற்கு பரிவர்த்தனையின் முன் உள்ள அம்புக்குறியைக் கிளிக் செய்யவும்., இல்லை. இவை எந்த முன் தேவைகளும் இல்லை.,0.9754,0.17226314544677734,0.13,Fail
cyber raseethai evaru pathivirakkuvathu,1. Mēl meṉu paṭṭiyil iruntu SelfManagement kkuc ceṉṟu āṉlaiṉ ceyalpāṭṭait tērnteṭukkavum 2. Nīṅkaḷ virumpum āṉlaiṉ ceyalpāṭṭaik kaṇṭaṟintu  iṇaiya racītaip pativiṟakkuvataṟku parivarttaṉaiyiṉ muṉ uḷḷa ampukkuṟiyaik kiḷik ceyyavum.,Kaṭavuccol 08 12 eḻuttukkaḷaik koṇṭirukka vēṇṭum. Kuṟaintapaṭcam oru āṅkila mūlataṉam oru eḷiya eḻuttu oru ciṟappu ciṉṉam maṟṟum oru ilakkam atil cērkkappaṭa vēṇṭum.,0.4066,0.05532026290893555,0.26,Fail
Cyber receiptai எவ்வாறு downlaod seivathu,1. Go to SelfManagement from top menu bar and select Online Activity 2.Find the online activity you prefer and click on the arrow key in front of the transaction to download the cyber receipt., தேவையான அனைத்து தகவல் ஆவணங்களும் சமர்ப்பிக்கப்படுவதற்கு உட்பட்டு ஒரு நாளுக்குள் விண்ணப்பத்தை முடிக்க நாங்கள் கடமைப்பட்டுள்ளோம்.,0.5334,0.07976579666137695,0.01,Fail
how do I register online?,You can use your Debit card or credit Card issued by Nations Trust Bank with its PIN to register. This will provide you full capability without any restrictions. Please note incase you do not remember the PIN of your credit Card you still can register by entering the security code and the expiry date of the card. However in this case you can only perform own account fund transfers and inquiries only. By calling our 24 * 7 customer service hotline on 094 4711 411 you can get your self enabled for all the options in Nations Online Banking.,You can use your Debit card or credit Card issued by Nations Trust Bank with its PIN to register. This will provide you full capability without any restrictions. Please note incase you do not remember the PIN of your credit Card you still can register by entering the security code and the expiry date of the card. However in this case you can only perform own account fund transfers and inquiries only. By calling our 24 * 7 customer service hotline on 094 4711 411 you can get your self enabled for all the options in Nations Online Banking.,0.9623,0.04051065444946289,1.0,Pass
நான் எப்படி ஆன்லைனில் பதிவு செய்வது?,பதிவு செய்ய நேஷன்ஸ் டிரஸ்ட் வங்கியால் வழங்கப்பட்ட உங்கள் டெபிட் கார்டு அல்லது கிரெடிட் கார்டை அதன் பின்னுடன் பயன்படுத்தலாம். இது எந்த தடையும் இல்லாமல் முழு திறனை உங்களுக்கு வழங்கும். உங்கள் கிரெடிட் கார்டின் பின் உங்களுக்கு நினைவில் இல்லை என்றால்  பாதுகாப்புக் குறியீடு மற்றும் கார்டின் காலாவதி தேதியை உள்ளிட்டு பதிவு செய்யலாம். இருப்பினும் இந்த விஷயத்தில் நீங்கள் சொந்த கணக்கு நிதி பரிமாற்றங்கள் மற்றும் விசாரணைகளை மட்டுமே செய்ய முடியும். எங்கள் 24 * 7 வாடிக்கையாளர் சேவை ஹாட்லைனை 094 4711 411 என்ற எண்ணில் அழைப்பதன் மூலம் நேஷன்ஸ் ஆன்லைன் பேங்கிங்கில் உள்ள அனைத்து விருப்பங்களுக்கும் நீங்கள் சுயமாகச் செயல்படலாம்., ஆம். பின்வரும் தகவலுடன் உங்களுக்கு சான்றிதழ் வழங்கப்படும். டெபாசிட் கணக்கு எண் டெபாசிட் தேதி முதிர்வு தேதி வைப்புத்தொகையின் மதிப்பு டெபாசிட்டரின் பெயர்கள் அவர்களின் அடையாள விவரங்களுடன் வட்டி செலுத்தும் முறை டெபாசிட்டை நிர்வகிக்கும் விதிமுறைகள் மற்றும் நிபந்தனைகள்.,0.987,0.1752922534942627,0.09,Fail
naan epdai onlineil pathivu seivathu?,pativu ceyya nēṣaṉs ṭirasṭ vaṅkiyāl vaḻaṅkappaṭṭa uṅkaḷ ṭepiṭ kārṭu allatu kireṭiṭ kārṭai ataṉ piṉṉuṭaṉ payaṉpaṭuttalām. Itu enta taṭaiyum illāmal muḻu tiṟaṉai uṅkaḷukku vaḻaṅkum. Uṅkaḷ kireṭiṭ kārṭiṉ piṉ uṅkaḷukku niṉaivil illai eṉṟāl  pātukāppuk kuṟiyīṭu maṟṟum kārṭiṉ kālāvati tētiyai uḷḷiṭṭu pativu ceyyalām. Iruppiṉum inta viṣayattil nīṅkaḷ conta kaṇakku niti parimāṟṟaṅkaḷ maṟṟum vicāraṇaikaḷai maṭṭumē ceyya muṭiyum. Eṅkaḷ 24* 7 vāṭikkaiyāḷar cēvai hāṭlaiṉai 094 4711 411 eṉṟa eṇṇil aḻaippataṉ mūlam  nēṣaṉs āṉlaiṉ pēṅkiṅkil uḷḷa aṉaittu viruppaṅkaḷukkum nīṅkaḷ cuyamākac ceyalpaṭalām., Nīṅkaḷ ēṟkaṉavē ComBank Digital il cuyamākap pativu ceytiruntāl  ComBank Digital il pativu ceyyum pōtu nīṅkaḷ uruvākkiya payaṉar aiṭi maṟṟum kaṭavuccollaip payaṉpaṭuttavum.,0.3707,0.05217909812927246,0.12,Fail
naan எப்படி onlineil register seivathu?,You can use your Debit card or credit Card issued by Nations Trust Bank with its PIN to register. This will provide you full capability without any restrictions. Please note incase you do not remember the PIN of your credit Card you still can register by entering the security code and the expiry date of the card. However in this case you can only perform own account fund transfers and inquiries only. By calling our 24 * 7 customer service hotline on 094 4711 411 you can get your self enabled for all the options in Nations Online Banking., இலங்கைக்கு பணத்தை அனுப்புவதற்கு IBAN அவசியமில்லை  மேலும் SWIFT குறியீட்டுடன் கூடிய பின்வரும் தகவல்கள் சரியான பயனாளிகளின் விவரங்களுடன் தந்தி பரிமாற்றத்தை அனுப்ப போதுமானது.,0.4544,0.07007384300231934,0.03,Fail
How soon will payments made on line be realized or processed?,1. Bill payments telecommunication billers payment will get updated immediately Utility billers will be processed within 3 working days. 2. Transactions between Own accounts andwithin NTB accounts will be done immediately 3. Money sent to other banks  Money will get credited within 3 minutes to following list of banks and financial institutions Bank of Ceylon Peoples Bank Commercial Bank, 1. Bill payments telecommunication billers payment will get updated immediately Utility billers will be processed within 3 working days. 2. Transactions between Own accounts andwithin NTB accounts will be done immediately 3. Money sent to other banks  Money will get credited within 3 minutes to following list of banks and financial institutions Bank of Ceylon Peoples Bank Commercial Bank,0.9739,0.048058509826660156,1.0,Pass
ஆன்லைனில் செலுத்தப்படும் பணம் எவ்வளவு விரைவில் செயல்படுத்தப்படும் அல்லது செயல்படுத்தப்படும்?,2. சொந்தக் கணக்குகள் மற்றும் NTB கணக்குகளுக்கு இடையிலான பரிவர்த்தனைகள் உடனடியாக செய்யப்படும் 3. மற்ற வங்கிகளுக்கு பணம் அனுப்பப்படும் பணம் 3 நிமிடங்களில் பின்வரும் வங்கிகள் மற்றும் நிதி நிறுவனங்களின் பட்டியலில் வரவு வைக்கப்படும் இலங்கை மக்கள் வங்கி கொமர்ஷல் வங்கி, 2. சொந்தக் கணக்குகள் மற்றும் NTB கணக்குகளுக்கு இடையிலான பரிவர்த்தனைகள் உடனடியாக செய்யப்படும் 3. மற்ற வங்கிகளுக்கு பணம் அனுப்பப்படும் பணம் 3 நிமிடங்களில் பின்வரும் வங்கிகள் மற்றும் நிதி நிறுவனங்களின் பட்டியலில் வரவு வைக்கப்படும் இலங்கை மக்கள் வங்கி கொமர்ஷல் வங்கி,1.0,0.20737886428833008,1.0,Pass
onlineil seluththapadum pannam evvaluvu vitaivil seyalpaduththapadum alathu seyalpaduththapadum?,2. Contak kaṇakkukaḷ maṟṟum NTB kaṇakkukaḷukku iṭaiyilāṉa parivarttaṉaikaḷ uṭaṉaṭiyāka ceyyappaṭum 3. Maṟṟa vaṅkikaḷukku paṇam aṉuppappaṭum paṇam 3 nimiṭaṅkaḷil piṉvarum vaṅkikaḷ maṟṟum niti niṟuvaṉaṅkaḷiṉ paṭṭiyalil varavu vaikkappaṭum ilaṅkai makkaḷ vaṅki komarṣal vaṅki, Nīṅkaḷ ēṟkaṉavē ComBank Digital il cuyamākap pativu ceytiruntāl  ComBank Digital il pativu ceyyum pōtu nīṅkaḷ uruvākkiya payaṉar aiṭi maṟṟum kaṭavuccollaip payaṉpaṭuttavum.,0.458,0.09503054618835449,0.18,Fail
onlineil செலுத்தப்படும் பணம் evvaluvu vitaivil செயல்படுத்தப்படும் or செயல்படுத்தப்படும்?,2. சொந்தக் கணக்குகள் மற்றும் NTB கணக்குகளுக்கு இடையிலான பரிவர்த்தனைகள் உடனடியாக செய்யப்படும் 3. மற்ற வங்கிகளுக்கு பணம் அனுப்பப்படும் பணம் 3 நிமிடங்களில் பின்வரும் வங்கிகள் மற்றும் நிதி நிறுவனங்களின் பட்டியலில் வரவு வைக்கப்படும் இலங்கை மக்கள் வங்கி கொமர்ஷல் வங்கி, நீங்கள் ஏற்கனவே ComBank Digital இல் சுயமாகப் பதிவு செய்திருந்தால் ComBank Digital இல் பதிவு செய்யும் போது நீங்கள் உருவாக்கிய பயனர் ஐடி மற்றும் கடவுச்சொல்லைப் பயன்படுத்தவும்.,0.6214,0.20508980751037598,0.17,Fail
Can individuals open joint Fixed Deposit?,Yes. Deposit accounts can be opened by an individual in his own name or by more than one individual in their own names., Yes. Deposit accounts can be opened by an individual in his own name or by more than one individual in their own names.,0.9512,0.04442739486694336,1.0,Pass
தனிநபர்கள் கூட்டு நிலையான வைப்புத்தொகையைத் திறக்க முடியுமா?,ஆம். டெபாசிட் கணக்குகளை ஒரு தனி நபர் தனது சொந்த பெயரில் அல்லது ஒன்றுக்கு மேற்பட்ட தனிநபர்கள் தங்கள் பெயரில் திறக்கலாம்., ஆம். டெபாசிட் கணக்குகளை ஒரு தனி நபர் தனது சொந்த பெயரில் அல்லது ஒன்றுக்கு மேற்பட்ட தனிநபர்கள் தங்கள் பெயரில் திறக்கலாம்.,1.0,0.20647788047790527,1.0,Pass
thaninabar kootu nilaiyana vaiputhokaiyai thiraka mudiuma?,Ām. Ṭepāciṭ kaṇakkukaḷai oru taṉi napar taṉatu conta peyaril allatu oṉṟukku mēṟpaṭṭa taṉinaparkaḷ taṅkaḷ peyaril tiṟakkalām., Maiṉariṉ peṟṟōr allatu kōrṭiyaṉ avar cārpāka toṭarpuṭaiya paṭivaṅkaḷai pūrtti ceyya vēṇṭum. Iruppiṉum maiṉar peyaril kaṇakku parāmarikkappaṭa vēṇṭum. Piṟappuc cāṉṟitaḻ kaṭṭāyam.,0.473,0.07323908805847168,0.34,Fail
thaninabar joint fixed depositai திறக்க முடியுமா?,Yes. Deposit accounts can be opened by an individual in his own name or by more than one individual in their own names., ஆம்,0.5144,0.10492682456970215,0.02,Fail
Can I change the nominees?,In the case of a new deposit the mandate provides provision for nomination. For all other subsequent changes we need a written confirmation from the depositor s. For subsequent changes you could obtain a nomination form the company., In the case of a new deposit the mandate provides provision for nomination. For all other subsequent changes we need a written confirmation from the depositor s. For subsequent changes you could obtain a nomination form the company.,0.9645,0.040361881256103516,1.0,Pass
நான் பரிந்துரைக்கப்பட்டவர்களை மாற்ற முடியுமா?,புதிய டெபாசிட் விஷயத்தில்  நியமனம் செய்வதற்கான வாய்ப்பை ஆணை வழங்குகிறது. மற்ற அனைத்து அடுத்தடுத்த மாற்றங்களுக்கும் டெபாசிட்டரிடமிருந்து எழுத்துப்பூர்வ உறுதிப்படுத்தல் தேவை. அடுத்தடுத்த மாற்றங்களுக்கு  நீங்கள் நிறுவனத்தின் பரிந்துரைப் படிவத்தைப் பெறலாம், ஆம். குறைந்தபட்சம் 12 மாதங்களுக்கு நிலையான வைப்புத்தொகையை நீங்கள் செய்யலாம் அல்லது 12 மாதங்களுக்கும் குறைவாக இருந்தால் நீங்கள் சேமிப்புக் கணக்கைத் திறக்கலாம்.,0.9851,0.21005582809448242,0.29,Fail
naan patithutaikapataarkalai maatra mudiuma,In the case of a new deposit the mandate provides provision for nomination. For all other subsequent changes we need a written confirmation from the depositor s. For subsequent changes you could obtain a nomination form the company., Ām. Ṭepāciṭ kaṇakkukaḷai oru taṉi napar taṉatu conta peyaril allatu oṉṟukku mēṟpaṭṭa taṉinaparkaḷ taṅkaḷ peyaril tiṟakkalām.,0.5057,0.0529482364654541,0.16,Fail
nan nomineesai மாற்ற முடியுமா?, புதிய டெபாசிட் விஷயத்தில்  நியமனம் செய்வதற்கான வாய்ப்பை ஆணை வழங்குகிறது. மற்ற அனைத்து அடுத்தடுத்த மாற்றங்களுக்கும் டெபாசிட்டரிடமிருந்து எழுத்துப்பூர்வ உறுதிப்படுத்தல் தேவை. அடுத்தடுத்த மாற்றங்களுக்கு  நீங்கள் நிறுவனத்தின் பரிந்துரைப் படிவத்தைப் பெறலாம், இலங்கையில் வசிப்பவராக இருந்து நிரந்தர வதிவிடப் (PR) அல்லது இரட்டைக் குடியுரிமை பெற்ற (இனிமேல் புலம்பெயர்ந்தவர் என குறிப்பிடப்படும்) வேறு நாட்டில் குடியுரிமை பெற்றுள்ள இலங்கைப் பிரஜை ஒருவர் இதற்குத் தகுதியுடையவராவார். புலம்பெயர்ந்தோருக்குச் சொந்தமான அசையும் மற்றும் அசையாச் சொத்தின் உறுதியான மற்றும் அசையா சொத்துக்களை விற்பனை செய்வதன் மூலம் பெறப்பட்ட வருமானம் மற்றும் புலம்பெயர்ந்தவர் மனைவி மற்றும் பெற்றோரிடமிருந்து பெறப்பட்ட பரிசுகளை உள்ளடக்கிய இடம்பெயர்வு கொடுப்பனவு. சொத்துக்களில் விலைமதிப்பற்ற கற்கள் விலைமதிப்பற்ற உலோகங்கள் தனிப்பட்ட நகைகள் மற்றும் பயனாளிகளாக மரபுரிமையாக பெறப்பட்ட தோட்டங்கள் உட்பட இலங்கையில் வைத்திருக்கும் பிற சொத்துக்கள் இருக்கலாம்.,0.606,0.09990596771240234,0.04,Fail
How do make payment for the deposit?,The deposit can be made to your nearest HNB FINANCE Branch by means of Cash; fund transfer directly to a HNB FINANCE designated Bank account or Cheque  bank draft issued in favor of HNB FINANCE PLC,The deposit can be made to your nearest HNB FINANCE Branch by means of Cash; fund transfer directly to a HNB FINANCE designated Bank account or Cheque  bank draft issued in favor of HNB FINANCE PLC,0.9758,0.04417562484741211,1.0,Pass
வைப்புத்தொகைக்கு எவ்வாறு பணம் செலுத்துவது?,உங்கள் அருகிலுள்ள HNB நிதிக் கிளைக்கு பணத்தின் மூலம் டெபாசிட் செய்யலாம்; HNB FINANCE நியமிக்கப்பட்ட வங்கிக் கணக்கிற்கு நேரடியாக நிதி பரிமாற்றம் அல்லது HNB FINANCE PLC க்கு ஆதரவாக வழங்கப்பட்ட வங்கி வரைவோலை சரிபார்க்கவும், ஆம்  வைப்புத்தொகையின் வகையின்படி மூலதன மதிப்பில் 70% முதல் 90% வரையிலான உங்கள் வைப்புத்தொகைக்கு எதிராக கடனுக்கு விண்ணப்பிக்க நீங்கள் தகுதியுடையவர்,0.9855,0.1966876983642578,0.21,Fail
vaipuththokaiku evaru pannam seluththuathu?,Uṅkaḷ arukiluḷḷa HNB nitik kiḷaikku paṇattiṉ mūlam ṭepāciṭ ceyyalām; HNB FINANCE niyamikkappaṭṭa vaṅkik kaṇakkiṟku nēraṭiyāka niti parimāṟṟam allatu HNB FINANCE PLC kku ātaravāka vaḻaṅkappaṭṭa vaṅki varaivōlai caripārkkavum, Tēvaiyāṉa āvaṇaṅkaḷ (ārampak kaṭṭaṇattiṟku) 1. Calukaik kaṭitam maṟṟum māṇavarukkāṉa aṉumatikkappaṭṭa celavukaḷaik koṇṭa palkalaikkaḻakattāl vaḻaṅkappaṭṭa toṭarpuṭaiya āvaṇaṅkaḷ. 2. Pāspōrṭṭiṉ nakal 3. Pāspōrṭṭiṉ vicā pakkattiṉ nakal. [Ārampak kaṭṭaṇattiṟkut tēvaiyillai] 4. Māṇavar aiṭiyiṉ nakal [toṭakkak kaṭṭaṇattiṟkut tēvaiyillai] 5. Muṟaiyākap pūrtti ceyyappaṭṭa viṇṇappap paṭivam (vaṅkiyāl vaḻaṅkappaṭṭatu),0.5541,0.06337237358093262,0.09,Fail
depositku evaru பணம் செலுத்துவது?,உங்கள் அருகிலுள்ள HNB நிதிக் கிளைக்கு பணத்தின் மூலம் டெபாசிட் செய்யலாம்; HNB FINANCE நியமிக்கப்பட்ட வங்கிக் கணக்கிற்கு நேரடியாக நிதி பரிமாற்றம் அல்லது HNB FINANCE PLC க்கு ஆதரவாக வழங்கப்பட்ட வங்கி வரைவோலை சரிபார்க்கவும், உங்கள் கணக்கு வைத்திருக்கும் கிளைக்கு உங்களின் பாஸ்புக்குடன் சென்று உங்களின் செயலற்ற கணக்கை செயல்படுத்த பணம் எடுக்கவும்.,0.5119,0.10320830345153809,0.35,Fail
What I should do to get my deposit renewed?,The completed renewal notice and the matured term deposit certificate should be sent to us or you may hand over these documents to any of our Branches to issue a new certificate on renewal.,The completed renewal notice and the matured term deposit certificate should be sent to us or you may hand over these documents to any of our Branches to issue a new certificate on renewal.,0.9492,0.04869341850280762,1.0,Pass
எனது வைப்புத்தொகையை புதுப்பிக்க நான் என்ன செய்ய வேண்டும்?,பூர்த்தி செய்யப்பட்ட புதுப்பித்தல் அறிவிப்பு மற்றும் முதிர்ந்த கால வைப்புச் சான்றிதழை எங்களுக்கு அனுப்ப வேண்டும் அல்லது புதுப்பித்தலில் புதிய சான்றிதழை வழங்க இந்த ஆவணங்களை எங்கள் கிளைகளில் ஏதேனும் ஒன்றில் ஒப்படைக்கலாம்., 1. வாகன உபகரணங்களை விற்கும் நபரின் விலைப்பட்டியல் 2. நிறுவனம் அங்கீகரிக்கப்பட்ட மதிப்பிலிருந்து மதிப்பீடு. எங்கள் கிளை நெட்வொர்க் மூலம் மதிப்பீடுகளைப் பெறலாம் (புத்தம் புதிய வாகனம் தவிர). 3. விண்ணப்பதாரர் மற்றும் உத்தரவாததாரர்களின் வருமானச் சான்று. ஆவணங்கள் கிடைக்கவில்லை என்றால்  விவாதங்கள் மற்றும் ஆன்சைட் ஆய்வுகள் மூலம் பெறப்பட்ட வருமானத்தின் அடிப்படையிலான வருமான மதிப்பீட்டை நாங்கள் பரிசீலிக்கலாம் 1. திட்டமிடப்பட்ட வருமான ஆதாரங்களை உறுதிப்படுத்தும் ஆவணங்கள். 2. உபகரண நிதி விஷயத்தில் திட்ட முன்மொழிவுகள். 3. விண்ணப்பதாரர் மற்றும் உத்தரவாததாரர்களின் NIC களின் நகல்கள்,0.9753,0.20567560195922852,0.02,Fail
enathu vaipuththokaiyai puthupika naan ena seiya vendum?,Pūrtti ceyyappaṭṭa putuppittal aṟivippu maṟṟum mutirnta kāla vaippuc cāṉṟitaḻai eṅkaḷukku aṉuppa vēṇṭum allatu putuppittalil putiya cāṉṟitaḻai vaḻaṅka inta āvaṇaṅkaḷai eṅkaḷ kiḷaikaḷil ētēṉum oṉṟil oppaṭaikkalām., Enta aṟivippum tēvaiyillai.,0.5101,0.06638908386230469,0.2,Fail
enathu depositai renew seiya நான் என்ன seiya vendum?,Pūrtti ceyyappaṭṭa putuppittal aṟivippu maṟṟum mutirnta kāla vaippuc cāṉṟitaḻai eṅkaḷukku aṉuppa vēṇṭum allatu putuppittalil putiya cāṉṟitaḻai vaḻaṅka inta āvaṇaṅkaḷai eṅkaḷ kiḷaikaḷil ētēṉum oṉṟil oppaṭaikkalām., HNB FINANCE டெபாசிட்டை நிராகரிக்க உரிமை உண்டு.,0.4227,0.08560609817504883,0.05,Fail
